"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"구세군서울후생원","B0001","(아동) 아동양육시설","아동복지시설","자치구","김호규","1141000000","서대문구","서울특별시 서대문구 독립문로8길 41(영천동)"
"남산원","B0002","(아동) 아동양육시설","아동복지시설","자치구","박흥식","1114000000","중구","서울특별시 중구 소파로2길 31남산원"
"송죽원","B0003","(아동) 아동양육시설","아동복지시설","자치구","권명심","1141000000","서대문구","서울특별시 서대문구 송죽길 23"
"강동꿈마을","B0006","(아동) 아동양육시설","아동복지시설","자치구","최은미","1174000000","강동구","서울특별시 강동구 천호대로186길 21 (둔촌동)"
"리라아동복지관","B0009","(아동) 아동양육시설","아동복지시설","자치구","김두식","1114000000","중구","경기도 안성시 용소길 65-0리라아동복지관"
"은평천사원","B0040","(아동) 아동양육시설","아동복지시설","자치구","조성아","1138000000","은평구","서울특별시 은평구 갈현로11길 30"
"삼동소년촌","B0042","(아동) 아동양육시설","아동복지시설","자치구","현재우","1144000000","마포구","서울특별시 마포구 가양대로 124"
"청운자립생활관","B0043","(아동) 자립지원시설","아동복지시설","자치구","유병욱","1159000000","동작구","서울특별시 동작구 국사봉1길 145자립생활관"
"시온원","B0044","(아동) 아동양육시설","아동복지시설","자치구","김성숙","1159000000","동작구","서울특별시 동작구 상도1동 460-9시온원"
"혜명보육원","B0045","(아동) 아동양육시설","아동복지시설","자치구","박혜정","1154500000","금천구","서울특별시 금천구 탑골로 35혜명보육원"
"혜명지역아동복지센터","B0046","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","노화정","1154500000","금천구","서울특별시 금천구 탑골로 352층"
"혜심원","B0050","(아동) 아동양육시설","아동복지시설","자치구","권필환","1117000000","용산구","서울특별시 용산구 소월로2나길 18 (후암동)"
"성남보육원","B0051","(아동) 아동양육시설","아동복지시설","자치구","최성수","1150000000","강서구","충청남도 서산시 쌍연북 3길 33"
"상록여자자립생활관","B0052","(아동) 자립지원시설","아동복지시설","자치구","부청하","1162000000","관악구","서울특별시 관악구 남현길 63"
"성가정입양원","B0055","(아동) 아동일시보호시설","아동복지시설","자치구","윤미숙","1129000000","성북구","서울특별시 성북구 선잠로2길 242선잠로2길 242"
"성심원","B0056","(아동) 아동양육시설","아동복지시설","자치구","김동춘","1165000000","서초구","경기 용인시 수지구 고기로 45번길 40-11(동천동)"
"신망원","B0057","(아동) 아동양육시설","아동복지시설","자치구","박명희","1156000000","영등포구","경기도 양평군 양서면 신원1길142번길 60 "
"성애원","B0058","(아동) 아동양육시설","아동복지시설","자치구","신경림","1129000000","성북구","경기도 이천시 구만리로 314"
"이든아이빌(EdenIVille)","B0070","(아동) 아동양육시설","아동복지시설","자치구","이소영","1120000000","성동구","서울특별시 성동구 왕십리로21라길 11(하왕십리동) (하왕십리동)"
"애향아동복지원","B0108","(아동) 아동양육시설","아동복지시설","자치구","김영신","1126000000","중랑구","경북 김천시 어모면 용문산길 551-25"
"그레이스빌","B0113","(아동) 아동양육시설","아동복지시설","자치구","강영미","1156000000","영등포구","충청남도 아산시 배방읍 갈매길 159-4 "
"명진들꽃사랑마을","B0198","(아동) 아동양육시설","아동복지시설","자치구","황유정","1174000000","강동구","서울특별시 강동구 구천면로68나길 10-1 (천호동)"
"돈보스코 자립생활관","B0220","(아동) 자립지원시설","아동복지시설","자치구","나택규","1156000000","영등포구","서울특별시 영등포구 여의대방로 65"
"신명아이마루","B0222","(아동) 아동양육시설","아동복지시설","자치구","이해근","1159000000","동작구","경기도 화성시 기배로43번길 26신명아이마루"
"상록보육원","B0232","(아동) 아동양육시설","아동복지시설","자치구","부청하","1162000000","관악구","서울특별시 관악구 남현길 63"
"한국사회봉사회","B0234","(아동) 아동일시보호시설","아동복지시설","자치구","이명림","1132000000","도봉구","서울특별시 도봉구 삼양로162가길 70"
"돈보스코 오라토리오","B0236","(아동) 아동보호치료시설","아동복지시설","자치구","나택규","1156000000","영등포구","서울특별시 영등포구 여의대방로 65 (구.신길6동 4491)"
"마드레나자레나의집","B0238","(아동) 공동생활가정","아동복지시설","자치구","이정임","1150000000","강서구","서울특별시 강서구 강서로26길 51-8"
"렘넌트지역아동센터","B0241","(아동) 지역아동센터","아동복지시설","자치구","김미경","1154500000","금천구","서울특별시 금천구 독산로 2173층"
"소리마을지역아동센터","B0245","(아동) 지역아동센터","아동복지시설","자치구","이형영","1174000000","강동구","서울특별시 강동구 구천면로 287-1"
"성광행복한지역아동센터","B0246","(아동) 지역아동센터","아동복지시설","자치구","김명희","1150000000","강서구","서울특별시 강서구 양천로26길 103청구상가 202203호"
"꿈이있는푸른학교지역아동센터","B0251","(아동) 지역아동센터","아동복지시설","자치구","김효경","1138000000","은평구","서울특별시 은평구 응암로12길 27-02층3층"
"영등포좋은나무지역아동센터","B0254","(아동) 지역아동센터","아동복지시설","자치구","백혜선","1156000000","영등포구","서울특별시 영등포구 양산로 90-1두선빌딩 2층 (당산동2가)"
"또하나의집","B0489","(아동) 공동생활가정","아동복지시설","자치구","한정숙","1123000000","동대문구","서울특별시 동대문구 약령시로5길 22-10 (제기동)"
"영락지역아동복지센터","B0498","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","김병삼","1117000000","용산구","서울특별시 용산구 후암로4길 70 (후암동)"
"청운지역아동복지센터","B0535","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","유병욱","1159000000","동작구","서울특별시 동작구 국사봉1길 145"
"민들레쉼터","B0567","(아동) 공동생활가정","아동복지시설","자치구","김금란","1162000000","관악구","서울특별시 관악구 문성로38길 37-7201호 (신림동)"
