"가구번호","여행구분1","여행구분2","여행 월","여행 번째","당일/숙박여행 여부","여행 출발 년","여행 출발 월","여행 출발 일","여행 도착 년","여행 도착 월","여행 도착 일","여행 박","여행 일","여행 시기_주중","여행 시기_주말","여행 시기_휴가/방학","여행 시기_설날/추석","여행 시기_공휴일","여행 주 목적","여행 정보 주요 획득지_1순위","여행 정보 주요 획득지_2순위","참고한 인터넷 사이트_1순위","참고한 인터넷 사이트_2순위","동반자 수_동거 가족이나 친척","동반자 수_비동거 가족이나 친척","동반자 수_그 외 동행자","그 외 동행자 유형_친구/연인","그 외 동행자 유형_(직장)동료","그 외 동행자 유형_단체/모임","그 외 동행자 유형_기타","여행 지출 비용_총비용","여행 지출 비용_출발전 지출비용","여행지 지출비용_단체비용","여행지 지출비용_여행사 상품구입비","여행지 지출비용_숙박비","여행지 지출비용_교통비","여행지 지출비용_식/음료비","여행지 지출비용_문화/오락시설 이용료/관람료","여행지 지출비용_스포츠/레포츠 용품대여/구입비, 경기관람료","여행지 지출비용_기념품 및 쇼핑비","여행지 지출비용_여행지에서 여행관련용품 구입비","여행지 지출비용_기타비용","여행 출발 전 사전예약을 통해  이용한 서비스 여부","사전예약을 한 서비스_숙박시설","사전예약을 한 서비스_교통수단","사전예약을 한 서비스_차량대여/렌트","사전예약을 한 서비스_관광명소","사전예약을 한 서비스_레저시설","사전예약을 한 서비스_체험프로그램","사전예약을 한 서비스_기타","여행상품 구매 또는 이용 여부","구매한 여행상품","구매한 여행상품_부분 패키지 상품(교통)","구매한 여행상품_부분 패키지 상품(차량임대)","구매한 여행상품_부분 패키지 상품(숙박시설)","구매한 여행상품_부분 패키지 상품(레저시설)","구매한 여행상품_부분 패키지 상품(기타)","단체회비/단체경비에 여행상품 구매 비용 포함 여부","항목별 만족도_자연경관","항목별 만족도_문화유산","항목별 만족도_교통","항목별 만족도_숙박시설","항목별 만족도_식당 및 음식","항목별 만족도_쇼핑","항목별 만족도_관광정보 및 안내시설","항목별 만족도_관광지 편의시설","항목별 만족도_지역 관광종사자의 친절성","항목별 만족도_체험프로그램","항목별 만족도_관광지 물가","항목별 만족도_관광지 혼잡도","가중치"
10001,1,2,10,115437,1,2017,10,5,2017,10,5,0,1,,,,4,,1,8,3,,,4,1,1,,,,,120000,0,0,0,0,40000,50000,10000,0,20000,0,0,2,,,,,,,,1,2,,2,,4,5,,4,4,4,9,4,4,4,4,4,4,4,4,4574.78603392468
10001,1,2,7,101372,2,2017,7,1,2017,7,7,6,7,1,2,3,,,1,2,8,,,4,1,1,,,,,1300000,300000,0,0,500000,150000,350000,0,0,0,0,0,1,1,,,,,,,1,2,,2,3,,,,5,4,4,4,4,9,4,4,4,4,4,4,4574.78603392468
10001,1,2,8,101365,1,2017,8,5,2017,8,5,0,1,,2,,,,1,8,2,,,3,1,3,1,,,,120000,0,0,0,0,6000,60000,54000,0,0,0,0,2,,,,,,,,1,2,1,,,4,5,,4,4,4,9,4,9,4,4,4,4,3,3,4574.78603392468
10001,1,2,8,115434,1,2017,8,12,2017,8,12,0,1,,2,,,,1,2,3,,,3,1,1,,,,,100000,0,0,0,0,20000,50000,30000,0,0,0,0,2,,,,,,,,1,2,,2,,4,5,,4,4,4,9,4,4,4,4,4,4,4,4,4574.78603392468
10002,1,1,5,110564,1,2017,5,1,2017,5,1,0,1,1,,,,,1,8,11,,,2,1,1,,,,,40000,0,0,0,0,20000,20000,0,0,0,0,0,2,,,,,,,,2,,,,,,,,3,3,3,9,3,3,3,3,3,3,3,3,8885.03689995055
10003,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,1,1,5,110799,2,2017,5,19,2017,5,20,1,2,1,2,,,,1,3,11,,,2,2,8,,,3,,150000,0,150000,0,0,0,0,0,0,0,0,0,1,1,,,,,,,1,2,1,,,,,2,5,4,4,3,3,3,3,3,3,9,3,3,9151.61320660223
10004,1,1,5,110800,1,2017,5,6,2017,5,6,0,1,,2,,,,1,10,11,,,2,1,30,,,3,,15000,0,15000,0,0,0,0,0,0,0,0,0,2,,,,,,,,1,2,,2,,,,2,4,3,3,9,3,3,3,3,3,9,3,3,9151.61320660223
10006,1,2,10,123029,1,2017,10,29,2017,10,29,0,1,,2,,,,1,8,11,,,2,1,1,,,,,60000,0,0,0,0,0,30000,30000,0,0,0,0,2,,,,,,,,2,,,,,,,,3,9,3,9,3,3,3,3,3,9,3,3,12508.0054787903
10006,1,2,11,123030,1,2017,11,26,2017,11,26,0,1,,2,,,,1,8,11,,,2,1,1,,,,,60000,0,0,0,0,0,30000,30000,0,0,0,0,2,,,,,,,,2,,,,,,,,3,9,3,9,3,9,3,3,3,9,3,3,12508.0054787903
